ticker,trust_name,commodity,ribawi_metal,physical_backing,allocation_status,retail_physical_redemption,ap_only_redemption,interest_bearing_cash,securities_lending,aaoifi_gold_standard_status,suggested_status_tier,confidence,notes
GLD,SPDR Gold Trust,Gold,Yes,Yes - allocated,Allocated (briefly unallocated only during AP creation/redemption settlement),"No - redemption restricted to Authorized Participants in 100,000-share Baskets",Yes,"No - sponsor fee paid via periodic sale of trust gold, not cash reserves",Not disclosed as a lending program in reviewed materials,Certified - Amanie Advisors certified GLD compliant with the AAOIFI Shari'ah Standard on Gold (Dec 2016),AAOIFI Certified,"Confirmed - prospectus, SSGA FAQ, Amanie/SSGA certification announcement","Only product in this list with a documented, named third-party AAOIFI certification. Grantor trust; trustee BNY Mellon; sponsor World Gold Trust Services."
GLDM,SPDR Gold MiniShares Trust,Gold,Yes,Yes - allocated,Allocated (briefly unallocated during creation/redemption per prospectus),No - AP-only,Yes,Not individually confirmed; same sponsor structure as GLD,Not confirmed,Not separately certified,Likely meets criteria (uncertified),Structure confirmed via prospectus; certification status not found,"Same sponsor/trust family as GLD (smaller share price, lower 0.18% fee) but no separate AAOIFI certification announcement located."
IAU,iShares Gold Trust,Gold,Yes,"Yes - allocated, segregated bars",Allocated,"No - AP-only, 50,000-share Baskets per 10-K",Yes,Not confirmed - no regular cash distributions; fee mechanism not individually verified,Not confirmed,Not certified / not found,Likely meets criteria (uncertified),Structure confirmed via 10-K and prospectus; cash/lending policy not independently verified,Sponsor: BlackRock/iShares Delaware Trust Sponsor LLC.
IAUM,iShares Gold Trust Micro,Gold,Yes,"Yes - allocated (presumed, same sponsor as IAU)",Allocated (inferred),No - AP-only (inferred),Yes (inferred),Not confirmed,Not confirmed,Not certified / not found,Not yet individually assessed,Inferred from IAU family structure - not individually verified,"Micro/lower-priced share class of IAU; same sponsor, presumed same mechanics."
SGOL,abrdn Physical Gold Shares ETF,Gold,Yes,"Yes - allocated, Swiss vault, serial numbers published, audited twice yearly",Allocated,No - standard AP redemption only (not confirmed to offer retail delivery),Yes,Not confirmed,Not confirmed,Not certified / not found,Likely meets criteria (uncertified),Structure confirmed via issuer materials; cash/lending policy not independently verified,Grantor trust; sponsor abrdn (formerly Aberdeen Standard).
AAAU,Goldman Sachs Physical Gold ETF,Gold,Yes,"Yes - LBMA Good Delivery bars, no numismatic value",Allocated,Reported Yes - monthly redemption for physical bullion with minimum size requirements (secondary source),Standard AP creation/redemption also exists,Not confirmed,Not confirmed,Not certified / not found,Likely meets criteria (uncertified),"Retail-redemption claim from secondary financial press (Benzinga), not yet confirmed directly in prospectus - verify before relying on it",Sponsor: Goldman Sachs. Verify retail redemption mechanics directly against current prospectus.
BAR,GraniteShares Gold Trust,Gold,Yes,"Yes - allocated LBMA Good Delivery bars, London vault",Allocated,Reported Yes - monthly redemption for physical bullion with minimum size requirements (secondary source),Standard AP mechanism also exists,No confirmed regular interest-bearing cash program; may sell gold to cover expenses per prospectus,No - explicitly stated the trust neither lends its holdings nor holds derivatives,Not certified / not found,Likely meets criteria (uncertified),Confirmed via prospectus (no lending/derivatives) and secondary press (redemption feature),Lowest expense ratio among gold trusts reviewed (0.17%). Cleanest no-lending confirmation of the non-Sprott/non-OUNZ gold products.
OUNZ,VanEck Merk Gold Trust,Gold,Yes,Yes - allocated London Bars,Allocated (temporarily unallocated only to facilitate delivery/redemption),Yes - explicitly designed so any investor (not just APs) can redeem shares for physical gold coins/bars; patented delivery process,"No - retail-accessible by design, this is the product's core differentiator",Not confirmed,"Not confirmed, but design intent (built for delivery) suggests none",Not certified / not found,Likely meets criteria (uncertified) - strongest possession profile among gold ETFs reviewed,Confirmed via VanEck/Merk official materials and SEC filings,"Sponsor Merk Investments LLC; US Patent 8,626,641 for the delivery mechanism. Best fit for AAOIFI's constructive-possession test since retail investors can actually take delivery, not just large APs."
PHYS,Sprott Physical Gold Trust,Gold,Yes,"Yes - fully allocated and unencumbered, no exceptions",Allocated,Yes - monthly redemption for physical bullion; minimum is one full LGD bar (~400 oz),"No traditional AP mechanism - closed-end trust, units issued via ATM program",Not confirmed,"No indication of lending - custody at Royal Canadian Mint, no leveraged intermediary cited",Not certified / not found,Likely meets criteria (uncertified),Confirmed via Sprott official materials,"Canadian closed-end trust, dual-listed NYSE Arca/TSX. ~400oz minimum redemption lot means the option is real but only practical for larger holders."
PSLV,Sprott Physical Silver Trust,Silver,Yes,Yes - fully allocated LGD silver bars,Allocated,"Yes - monthly redemption; minimum is ten 1,000oz silver bars (~10,000 oz)",No traditional AP mechanism - closed-end trust,Not confirmed,No indication of lending found,Not certified / not found (AAOIFI Standard 57 explicitly extends to silver per AAOIFI's secretary general),Likely meets criteria (uncertified),Confirmed via Sprott official materials,"Same Sprott physical-redemption framework as PHYS, sized for silver bars."
